Topic,Representative_Docs
-1,"마약범죄 척결을 위해 전담인력만 840명에 달하는 범정부 특별수사본부가 출범했다. 마약 관련 수사본부로는 역대 최대 규모로 ‘마약과의 전쟁’에 본격적으로 나선 모양새다.
대검찰청 경찰청 관세청은 10일 교육부 식품의약품안전처 서울시 등과 함께 ‘마약범죄 대응 유관기관 협의회’를 열고 범정부 차원에서 ‘마약범죄 특별수사본부’(공동본부장 신봉수 대검 반부패.."
-1,"집행유예 기간 중 마약을 투약한 혐의를 받는 인플루언서 황하나(33)씨가 7일 구속됐다.

권경선 서울서부지법 영장전담판사는 이날 마약류 관리에 관한 법률 위반 혐의를 받는 황씨의 구속 전 피의자 심문(영장실질심사)을 진행한 후 구속 영장을 발부했다. 권 판사는 “증거인멸과 도주 우려가 있다”고 구속 사유를 설명했다.

황씨는 오전 심문을 마치고 나오며.."
-1,"올해 10대 등 젊은 층을 중심으로 마약사범이 역대 최고치로 치솟을 것이란 전망에 검찰이 ‘마약과의 전쟁’에 나섰다. 서울 인천 부산 광주 등 4대 검찰청에 ‘마약범죄 특별수사팀’을 설치해 전국적인 단속을 한다.
 
 
 한동훈 법무부 장관이 대검찰청에 지난 13일 “마약류 범죄에 엄정 대응하라”며 “전쟁을 치른다는 각오로 최선을 다하라”라고 지시한 데.."
-1,"◇“지금 확산세 못 꺾으면 통제불능 임계치 넘어설 것”
지난 7월 초 발생한 서울 ‘강남 유흥주점 마약 사망사건’은 현재 우리 사회에 마약이 얼마나 흔하게 번져 일상화했는지를 새삼 드러낸 충격적 부표다. 하지만 전문가들은 그조차도 빙산의 일각에 불과하다고 입을 모은다. 당시 손님과 종업원을 사망에 이르게 한 문제의 마약은 필로폰(메스암페타민)인 것으로 .."
-1,"“살려주세요. 마약을 했어요.” 지난 8일 오후 8시쯤 서울 강남구의 한 편의점에서 30대 여성이 점원에게 이렇게 말했다. 횡설수설하듯 기이한 행동에 점원은 경찰에 신고했다. 현장에 출동한 경찰이 마약 반응 검사를 한 결과 실제로 양성 반응이 나왔다. 경찰은 여성이 조사를 받을 수 없는 상황이라고 판단해 우선 귀가시켰다. 
 
 같은 날 오전 3시쯤엔 .."
0,"마약 투약으로 유죄가 선고된 뒤 집행유예 기간에 또다시 마약을 투약한 혐의로 기소된 황하나(34)씨가 대법원에서 징역형이 확정됐다. 
 
대법원 2부(주심 이동원 대법관)는 지난 1월 21일 마악류관리에 관한 법률 위반 등 혐의로 기소된 황씨에게 징역 1년 8개월을 선고한 원심을 확정했다. 추징금 50만원도 그대로 유지됐다. 
 
황씨는 지난 2020년.."
0,"마약 투약 혐의로 유죄가 선고된 뒤 형 집행 유예 기간에 또다시 마약을 투약한 혐의 등으로 구속기소 된 황하나(33)씨가 항소심에서 감형됐다. 
 
 서울서부지법 형사항소 1-1부(성지호 부장판사)는 15일 마약류 관리에 관한 법률 위반 등 혐의로 기소된 황씨에게 징역 2년을 선고한 원심판결을 파기하고 징역 1년 8개월을 선고했다. 추징금은 40만원에서.."
0,"아이돌 그룹 '아이콘' 전 멤버 비아이(본명 김한빈)의 마약 투약 혐의 수사를 무마하려 한 혐의를 받는 양현석 전 YG 엔터테인먼트 대표가 1심에서 무죄 판결을 받은 것에 대해 검찰이 항소했다. 
 
 28일 법조계에 따르면 검찰은 이날 해당 사건을 심리한 서울중앙지법 형사합의23부(부장판사 조병구)에 항소장을 제출했다. 
 양현석 전 YG엔터테인먼트 .."
0,"집행유예 기간 중 다시 마약을 투약한 혐의 등으로 재판에 넘겨진 남양유업 창업주의 외손녀 황하나(33)씨가 항소심에서도 실형을 선고받았다. 
 
 서울서부지법 형사항소1-1부(부장판사 성지호)는 15일 마약류 관리에 관한 법률 위반 등 혐의로 기소된 황씨의 항소심에서 징역 1년 8개월을 선고하고 추징금 50만원을 명령했다. 앞서 1심 재판부는 징역 2년.."
0,"마약 혐의 처벌 집행유예 기간 중 또 마약을 투약한 혐의 등으로 재판에 넘겨진 남양유업 창업주 외손녀 황하나 씨가 실형을 최종 확정받았다. 
 
4일 법조계에 따르면 대법원 2부(주심 이동원 대법관)는 최근 마약류 관리에 관한 법률 위반(향정) 등 혐의로 기소된 황 씨의 상고심에서 징역 1년8개월에 추징금 50만 원을 명령한 원심을 확정했다. 
 
앞서.."
1,"더불어민주당과 정의당, 기본소득당과 무소속 등 범야권 의원 181명이 이태원 핼러윈 참사의 진상 규명을 위한 국정조사 요구서를 9일 국회에 제출했다. 대통령실은 “이 슬픔은 정치에 활용돼서는 안 된다”고 했고, 국민의힘은 “강제력이 없는 국정조사는 정쟁만 일으킬 뿐”이라고 반발했다. 다만 국민의힘 내에서도 “범야권이 손잡고 단독 처리하면 막을 수단도, .."
1,"더불어민주당 등 야 3당 '이태원 참사' 진상규명을 위한 국정조사 요구서를 제출한 가운데 여권이 10일 수사를 통한 진상규명을 강조하며 반대입장을 재확인했다. 민주당은 여당의 불참시 야권 단독으로 특위구성에 나선다는 계획이어서 여야간의 정치적 충돌이 불가피할 전망이다. 
 








 


더불어민주당 등 야 3당이 제출한 '이태원 압사 참사'의 .."
1,"더불어민주당과 정의당, 기본소득당이 9일 이태원 핼러윈 참사 진상규명을 위한 국정조사 요구서를 국회에 공동 제출했다. 국민의힘은 국정조사 요구서 제출에 동참하지 않았다. 민주당은 국민의힘이 국정조사를 거부하면 야당 단독으로라도 추진하겠다고 밝혔다. 대통령실은 “슬픔을 정치에 활용해선 안 된다”며 부정적인 입장을 밝혔다.

위성곤 민주당 원내수석부대표, .."
1,"더불어민주당과 정의당, 기본소득당이 9일 이태원 핼러윈 참사 진상규명을 위한 국정조사 요구서를 국회에 공동 제출했다. 국민의힘은 국정조사 요구서 제출에 동참하지 않았다. 민주당은 국민의힘이 국정조사를 거부하면 야당 단독으로라도 추진하겠다고 밝혔다. 대통령실은 “슬픔을 정치에 활용해선 안 된다”며 부정적인 입장을 밝혔다.

위성곤 민주당 원내수석부대표, .."
